keyword,grade,total_score,profile,datalab_score,datalab_direction,blog_results,blog_competition,commercial_hits,gtrends_score,weak_points,is_alchemy,original_keyword,seed_keyword,created_at
다이어트 종류 집에서,미달,39,롱테일,0,데이터없음,242351,🔴 높음,종류,0,"트렌드낮음, 경쟁도높음",Y,다이어트 종류,다이어트,2026-04-04 19:29
직장인 다이어트 종류,미달,36,롱테일,0,데이터없음,116126,🔴 높음,종류,1.1,"트렌드낮음, 경쟁도높음",Y,다이어트 종류,다이어트,2026-04-04 19:29
가성비 다이어트 종류,미달,36,롱테일,0,데이터없음,152483,🔴 높음,종류,1.1,"트렌드낮음, 경쟁도높음",Y,다이어트 종류,다이어트,2026-04-04 19:29
사회초년생 다이어트방법,좋은,61,롱테일,0,데이터없음,5241,🟡 낮음,방법,0,트렌드낮음,Y,다이어트방법,다이어트,2026-04-04 19:29
직장인 다이어트방법,보통,47,롱테일,100.0,➡️  유지중,312403,🔴 높음,방법,1.1,경쟁도높음,Y,다이어트방법,다이어트,2026-04-04 19:29
30대 다이어트방법,보통,47,롱테일,100.0,➡️  유지중,147869,🔴 높음,방법,1.2,경쟁도높음,Y,다이어트방법,다이어트,2026-04-04 19:29
저렴하게 다이어트방법,보통,46,롱테일,0,데이터없음,87999,🟠 보통,방법,0,"트렌드낮음, 경쟁도높음",Y,다이어트방법,다이어트,2026-04-04 19:29
대학생 다이어트방법,보통,43,롱테일,0,데이터없음,39698,🟠 보통,방법,1.9,"트렌드낮음, 경쟁도높음",Y,다이어트방법,다이어트,2026-04-04 19:29
다이어트방법 처음 시작하는,미달,39,롱테일,0,데이터없음,127615,🔴 높음,방법,0,"트렌드낮음, 경쟁도높음",Y,다이어트방법,다이어트,2026-04-04 19:29
다이어트방법 혼자서,미달,39,롱테일,0,데이터없음,173500,🔴 높음,방법,0,"트렌드낮음, 경쟁도높음",Y,다이어트방법,다이어트,2026-04-04 19:29
다이어트방법 집에서,미달,39,롱테일,0,데이터없음,460474,🔴 높음,방법,0,"트렌드낮음, 경쟁도높음",Y,다이어트방법,다이어트,2026-04-04 19:29
가성비 다이어트방법,미달,39,롱테일,0,데이터없음,168415,🔴 높음,방법,0,"트렌드낮음, 경쟁도높음",Y,다이어트방법,다이어트,2026-04-04 19:29
댄스다이어트 비교,좋은,76,롱테일,0,데이터없음,978,🟢 매우 낮음,비교,0,트렌드낮음,Y,댄스다이어트,다이어트,2026-04-04 19:29
댄스다이어트 후기,좋은,76,롱테일,0,데이터없음,3578,🟢 매우 낮음,후기,0,트렌드낮음,Y,댄스다이어트,다이어트,2026-04-04 19:29
댄스다이어트 순위,좋은,76,롱테일,0,데이터없음,361,🟢 매우 낮음,순위,0,트렌드낮음,Y,댄스다이어트,다이어트,2026-04-04 19:29
대학생 댄스다이어트,좋은,62,롱테일,0,데이터없음,415,🟢 매우 낮음,없음,0,"트렌드낮음, 상업의도부족",Y,댄스다이어트,다이어트,2026-04-04 19:29
사회초년생 댄스다이어트,좋은,62,롱테일,0,데이터없음,5,🟢 매우 낮음,없음,0,"트렌드낮음, 상업의도부족",Y,댄스다이어트,다이어트,2026-04-04 19:29
30대 댄스다이어트,좋은,62,롱테일,0,데이터없음,546,🟢 매우 낮음,없음,0,"트렌드낮음, 상업의도부족",Y,댄스다이어트,다이어트,2026-04-04 19:29
댄스다이어트 추천,좋은,61,롱테일,0,데이터없음,9337,🟡 낮음,추천,0,트렌드낮음,Y,댄스다이어트,다이어트,2026-04-04 19:29
댄스다이어트 방법,좋은,61,롱테일,0,데이터없음,5363,🟡 낮음,방법,0,트렌드낮음,Y,댄스다이어트,다이어트,2026-04-04 19:29
댄스다이어트 어떻게 하나요,좋은,61,롱테일,0,데이터없음,19841,🟡 낮음,어떻게,0,트렌드낮음,Y,댄스다이어트,다이어트,2026-04-04 19:29
직장인 댄스다이어트,보통,47,롱테일,0,데이터없음,5762,🟡 낮음,없음,0,"트렌드낮음, 상업의도부족",Y,댄스다이어트,다이어트,2026-04-04 19:29
